tag #,monitoring date,broodstock,set date,distribution date,total # of live oysters,total # of live oysters greater than or equal to 15mm:,clump (if any noted),Total LIVE oysters LESS than 15 mm,Total DEAD oysters LESS than 15 mm,average of shell heights for each monitoring,shell_height_mm,Live / Dead,Organization,Location,Name of Person(s) Collecting Data:,Notes,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,1,,,,34,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,1,,,,28,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,1,,,,26,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,2,,,,35,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,2,,,,32,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,2,,,,30,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,2,,,,32,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,2,,,,25,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,2,,,,27,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,2,,,,30,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,2,,,,24,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,2,,,,25,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,3,,,,40,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,3,,,,38,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,3,,,,22,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,4,,,,24,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,4,,,,17,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,4,,,,31,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,4,,,,28,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,4,,,,28,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,4,,,,26,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,5,,,,20,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,5,,,,20,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,6,,,,36,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,6,,,,32,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,6,,,,40,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,6,,,,34,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
