timestamp(America/New_York),score
11/3/2023 0:00,88.9
11/3/2023 0:05,88.3
11/3/2023 0:10,88.7
11/3/2023 0:15,89
11/3/2023 0:20,89
11/3/2023 0:25,89
11/3/2023 0:30,89
11/3/2023 0:35,89
11/3/2023 0:40,89
11/3/2023 0:45,89
11/3/2023 0:50,88.8
11/3/2023 0:55,88.1
11/3/2023 1:00,88.3
11/3/2023 1:05,88
11/3/2023 1:10,88
11/3/2023 1:15,88.1
11/3/2023 1:20,88
11/3/2023 1:25,88
11/3/2023 1:30,88.8
11/3/2023 1:35,89
11/3/2023 1:40,88.5
11/3/2023 1:45,88
11/3/2023 1:50,88
11/3/2023 1:55,88
11/3/2023 2:00,88
11/3/2023 2:05,88
11/3/2023 2:10,88
11/3/2023 2:15,88
11/3/2023 2:20,88.3
11/3/2023 2:25,89
11/3/2023 2:30,89
11/3/2023 2:35,88.9
11/3/2023 2:40,88.7
11/3/2023 2:45,88.5
11/3/2023 2:50,88.4
11/3/2023 2:55,88.9
11/3/2023 3:00,89
11/3/2023 3:05,89.1
11/3/2023 3:10,89
11/3/2023 3:15,89
11/3/2023 3:20,89
11/3/2023 3:25,89
11/3/2023 3:30,89
11/3/2023 3:35,89
11/3/2023 3:40,88.9
11/3/2023 3:45,88.4
11/3/2023 3:50,88.3
11/3/2023 3:55,88.2
11/3/2023 4:00,89
11/3/2023 4:05,89.2
11/3/2023 4:10,89
11/3/2023 4:15,89
11/3/2023 4:20,89
11/3/2023 4:25,89
11/3/2023 4:30,89
11/3/2023 4:35,89
11/3/2023 4:40,88.2
11/3/2023 4:45,88
11/3/2023 4:50,88
11/3/2023 4:55,88
11/3/2023 5:00,87.1
11/3/2023 5:05,87
11/3/2023 5:10,87
11/3/2023 5:15,87
11/3/2023 5:20,87
11/3/2023 5:25,86.7
11/3/2023 5:30,86
11/3/2023 5:35,85.2
11/3/2023 5:40,84.9
11/3/2023 5:45,84.2
11/3/2023 5:50,83.2
11/3/2023 5:55,82.5
11/3/2023 6:00,81.8
11/3/2023 6:05,80.8
11/3/2023 6:10,80.2
11/3/2023 6:15,79.4
11/3/2023 6:20,78.9
11/3/2023 6:25,78.8
11/3/2023 6:30,78.4
11/3/2023 6:35,78.1
11/3/2023 6:40,78
11/3/2023 6:45,78
11/3/2023 6:50,78
11/3/2023 6:55,78
11/3/2023 7:00,78
11/3/2023 7:05,78
11/3/2023 7:10,77.8
11/3/2023 7:15,77.9
11/3/2023 7:20,77.9
11/3/2023 7:25,77.8
11/3/2023 7:30,77
11/3/2023 7:35,77.2
11/3/2023 7:40,77
11/3/2023 7:45,77.2
11/3/2023 7:50,77
11/3/2023 7:55,77
11/3/2023 8:00,77
11/3/2023 8:05,77.5
11/3/2023 8:10,79.1
11/3/2023 8:15,81.2
11/3/2023 8:20,86.6
11/3/2023 8:25,88.2
11/3/2023 8:30,88.7
11/3/2023 8:35,88.2
11/3/2023 8:40,86.6
11/3/2023 8:45,85.1
11/3/2023 8:50,82.6
11/3/2023 8:55,78.9
11/3/2023 9:00,80.6
11/3/2023 9:05,83
11/3/2023 9:10,84.7
11/3/2023 9:15,84.6
11/3/2023 9:20,82.7
11/3/2023 9:25,80.5
11/3/2023 9:30,82.3
11/3/2023 9:35,80.9
11/3/2023 9:40,79.8
11/3/2023 9:45,81.3
11/3/2023 9:50,83.7
11/3/2023 9:55,84.3
11/3/2023 10:00,85.1
11/3/2023 10:05,85.8
11/3/2023 10:10,86.1
11/3/2023 10:15,86
11/3/2023 10:20,86
11/3/2023 10:25,85.3
11/3/2023 10:30,84.9
11/3/2023 10:35,85.2
11/3/2023 10:40,81
11/3/2023 10:45,70.8
11/3/2023 10:50,78.8
11/3/2023 10:55,83.4
11/3/2023 11:00,82.3
11/3/2023 11:05,79.8
11/3/2023 11:10,82.5
11/3/2023 11:15,79.9
11/3/2023 11:20,79.8
11/3/2023 11:25,79.4
11/3/2023 11:30,77.4
11/3/2023 11:35,78.2
11/3/2023 11:40,75.3
11/3/2023 11:45,72.8
11/3/2023 11:50,73.9
11/3/2023 11:55,74.5
11/3/2023 12:00,74.2
11/3/2023 12:05,74.3
11/3/2023 12:10,73.6
11/3/2023 12:15,80
11/3/2023 12:20,84.2
11/3/2023 12:25,85.7
11/3/2023 12:30,86.1
11/3/2023 12:35,86.1
11/3/2023 12:40,86
11/3/2023 12:45,85
11/3/2023 12:50,83.9
11/3/2023 12:55,82.6
11/3/2023 13:00,81.3
11/3/2023 13:05,83.3
11/3/2023 13:10,84.3
11/3/2023 13:15,84.1
11/3/2023 13:20,83.9
11/3/2023 13:25,80.5
11/3/2023 13:30,79.4
11/3/2023 13:35,79.1
11/3/2023 13:40,79.6
11/3/2023 13:45,80.5
11/3/2023 13:50,79.6
11/3/2023 13:55,79.4
11/3/2023 14:00,79.5
11/3/2023 14:05,80.2
11/3/2023 14:10,81.4
11/3/2023 14:15,82.9
11/3/2023 14:20,83.3
11/3/2023 14:25,85.2
11/3/2023 14:30,85.1
11/3/2023 14:35,85.5
11/3/2023 14:40,86
11/3/2023 14:45,86.5
11/3/2023 14:50,86.6
11/3/2023 14:55,86.8
11/3/2023 15:00,86.6
11/3/2023 15:05,87
11/3/2023 15:10,87.2
11/3/2023 15:15,87.9
11/3/2023 15:20,87.9
11/3/2023 15:25,87.1
11/3/2023 15:30,87
11/3/2023 15:35,87
11/3/2023 15:40,87.1
11/3/2023 15:45,87
11/3/2023 15:50,87.7
11/3/2023 15:55,88
11/3/2023 16:00,88
11/3/2023 16:05,88
11/3/2023 16:10,88
11/3/2023 16:15,88
11/3/2023 16:20,88.1
11/3/2023 16:25,88.2
11/3/2023 16:30,88.7
11/3/2023 16:35,88.4
11/3/2023 16:40,89
11/3/2023 16:45,89
11/3/2023 16:50,89
11/3/2023 16:55,89
11/3/2023 17:00,89
11/3/2023 17:05,89
11/3/2023 17:10,89
11/3/2023 17:15,89
11/3/2023 17:20,89
11/3/2023 17:25,89
11/3/2023 17:30,89
11/3/2023 17:35,89
11/3/2023 17:40,89.5
11/3/2023 17:45,89.1
11/3/2023 17:50,89.6
11/3/2023 17:55,89.1
11/3/2023 18:00,89.9
11/3/2023 18:05,90
11/3/2023 18:10,89.9
11/3/2023 18:15,90
11/3/2023 18:20,90
11/3/2023 18:25,89.7
11/3/2023 18:30,90
11/3/2023 18:35,89.8
11/3/2023 18:40,89.4
11/3/2023 18:45,87.6
11/3/2023 18:50,85.4
11/3/2023 18:55,86
11/3/2023 19:00,86.3
11/3/2023 19:05,87.4
11/3/2023 19:10,88.7
11/3/2023 19:15,89.5
11/3/2023 19:20,89.8
11/3/2023 19:25,89.7
11/3/2023 19:30,89.9
11/3/2023 19:35,89.9
11/3/2023 19:40,90
11/3/2023 19:45,90
11/3/2023 19:50,90
11/3/2023 19:55,90
11/3/2023 20:00,90
11/3/2023 20:05,90
11/3/2023 20:10,90
11/3/2023 20:15,90
11/3/2023 20:20,90
11/3/2023 20:25,90
11/3/2023 20:30,90
11/3/2023 20:35,90
11/3/2023 20:40,90
11/3/2023 20:45,90
11/3/2023 20:50,90
11/3/2023 20:55,90
11/3/2023 21:00,90
11/3/2023 21:05,90
11/3/2023 21:10,90
11/3/2023 21:15,90
11/3/2023 21:20,90
11/3/2023 21:25,90
11/3/2023 21:30,90
11/3/2023 21:35,90
11/3/2023 21:40,90
11/3/2023 21:45,90
11/3/2023 21:50,90
11/3/2023 21:55,90
11/3/2023 22:00,90
11/3/2023 22:05,90
11/3/2023 22:10,90
11/3/2023 22:15,90
11/3/2023 22:20,90
11/3/2023 22:25,90.4
11/3/2023 22:30,90.5
11/3/2023 22:35,90.9
11/3/2023 22:40,90.8
11/3/2023 22:45,90.8
11/3/2023 22:50,91
11/3/2023 22:55,91
11/3/2023 23:00,91
11/3/2023 23:05,91
11/3/2023 23:10,91
11/3/2023 23:15,90.5
11/3/2023 23:20,90
11/3/2023 23:25,90.1
11/3/2023 23:30,90.7
11/3/2023 23:35,91
11/3/2023 23:40,90.9
11/3/2023 23:45,90.8
11/3/2023 23:50,91
11/3/2023 23:55,90.6
